"Benchmark","Algorithm","Run","Hypervolume","GD","Time","ParetoSize"
"ZDT1","MO_AGD_PSO",17,0.869044643420692,0.0033168836222117,21.3580780029297,100
"ZDT1","MO_AGD_PSO",18,0.868112682242619,0.0040678595898084,21.2654559612274,100
"ZDT1","MO_AGD_PSO",19,0.867533262535355,0.00440783619078648,21.8921301364899,100
"ZDT1","MO_AGD_PSO",20,0.868031099654235,0.00408001768216456,21.4785869121552,100
"ZDT1","MO_AGD_PSO",21,0.868736163713138,0.00353597007491855,20.8883171081543,100
"ZDT1","MO_AGD_PSO",22,0.867296981613132,0.00446273130220164,21.3969969749451,100
"ZDT1","MO_AGD_PSO",23,0.869443193518701,0.00304657476704,21.6009709835052,100
"ZDT1","MO_AGD_PSO",24,0.869650641455042,0.00282691139519927,21.4052319526672,100
"ZDT1","MO_AGD_PSO",25,0.868968122092008,0.00364311134019644,21.2418630123138,100
"ZDT1","MO_AGD_PSO",26,0.868313086801356,0.00365099100039575,21.4061369895935,100
"ZDT1","MO_AGD_PSO",27,0.86868793052936,0.00357216354876065,20.959939956665,100
"ZDT1","MO_AGD_PSO",28,0.869272119932424,0.00342470362924669,21.72820520401,100
"ZDT1","MO_AGD_PSO",29,0.867954269756356,0.00338210366590854,20.6465768814087,100
"ZDT1","MO_AGD_PSO",30,0.869664416235914,0.00218182261647317,20.770868062973,100
"ZDT1","MO_AGD_PSO",31,0.869026136160138,0.00360926547237813,21.2001850605011,100
"ZDT2","NSGAII",1,0.532653870157131,0.00368668199492194,16.3530550003052,100
"ZDT2","NSGAII",2,0.533717551308911,0.00316131289148748,16.458477973938,100
"ZDT2","NSGAII",3,0.533891007986763,0.00268776353016432,16.7427611351013,100
"ZDT2","NSGAII",4,0.534136292685602,0.00272525119055997,18.1715700626373,100
"ZDT2","NSGAII",5,0.535034313607259,0.00202874308270935,17.2044019699097,100
"ZDT2","NSGAII",6,0.534087373696034,0.00258593265069354,16.8942971229553,100
"ZDT2","NSGAII",7,0.534297633926191,0.00243794874927534,17.196750164032,100
"ZDT2","NSGAII",8,0.533598069424802,0.00327361262031465,17.7670459747314,100
"ZDT2","NSGAII",9,0.534657728586828,0.00210316840433462,17.9421770572662,100
"ZDT2","NSGAII",10,0.533916735890906,0.00280645168187331,17.3881118297577,100
"ZDT2","NSGAII",11,0.535001354418079,0.00192553819244499,16.997004032135,100
"ZDT2","NSGAII",12,0.531914962017063,0.00382399531702892,17.4296610355377,100
"ZDT2","NSGAII",13,0.533025072081318,0.00347607521746145,17.4299409389496,100
"ZDT2","NSGAII",14,0.533834659533207,0.00265011072081451,17.8041338920593,100
"ZDT2","NSGAII",15,0.533853715254535,0.00246432558119993,17.4996671676636,100
"ZDT2","NSGAII",16,0.535759295339612,0.00199955578261685,17.7558460235596,100
"ZDT2","NSGAII",17,0.533284473169191,0.00331289102376511,18.4139249324799,100
"ZDT2","NSGAII",18,0.534595507778017,0.00261249195820036,21.3672511577606,100
"ZDT2","NSGAII",19,0.534215435737272,0.00321846886351544,21.2021489143372,100
"ZDT2","NSGAII",20,0.533713795997962,0.00274933393619765,16.1958558559418,100
"ZDT2","NSGAII",21,0.534066717703141,0.00297395554268532,16.3509569168091,100
"ZDT2","NSGAII",22,0.535085894815886,0.00274563576844137,15.9578959941864,100
"ZDT2","NSGAII",23,0.534563812162849,0.00285732160424795,16.0427069664001,100
"ZDT2","NSGAII",24,0.534752292633288,0.00232873310813944,16.2213950157166,100
"ZDT2","NSGAII",25,0.534407080058592,0.00225557952978719,16.1251821517944,100
"ZDT2","NSGAII",26,0.534171442090993,0.00229005916945497,16.0248148441315,100
"ZDT2","NSGAII",27,0.533312757841788,0.00287967357603199,16.1222441196442,100
"ZDT2","NSGAII",28,0.534838799804948,0.00204060297915011,16.11936211586,100
"ZDT2","NSGAII",29,0.53435110534884,0.00291964021104336,16.0857079029083,100
"ZDT2","NSGAII",30,0.534399582061501,0.00248938317253581,16.195240020752,100
"ZDT2","NSGAII",31,0.533465008124342,0.00306379483815994,16.1631588935852,100
"ZDT2","MO_AGD_PSO",1,0.536500797916347,0.00281791427168151,20.0993120670319,100
"ZDT2","MO_AGD_PSO",2,0.536275241601433,0.00225370421902792,20.7366349697113,100
"ZDT2","MO_AGD_PSO",3,0.535981277899543,0.00286446693269377,20.1297490596771,100
"ZDT2","MO_AGD_PSO",4,0.535400663135477,0.00318770283310506,20.5077769756317,100
"ZDT2","MO_AGD_PSO",5,0.536609464869658,0.00220461838834898,23.4530711174011,100
"ZDT2","MO_AGD_PSO",6,0.536142056206959,0.00257069508213551,23.1440811157227,100
"ZDT2","MO_AGD_PSO",7,0.537381445441667,0.00151753845717969,24.971734046936,100
"ZDT2","MO_AGD_PSO",8,0.535993808615812,0.00256047881787823,23.2045290470123,100
"ZDT2","MO_AGD_PSO",9,0.53613860225195,0.00237195172992965,22.2954020500183,100
"ZDT2","MO_AGD_PSO",10,0.536543732627294,0.00246476347432345,21.8142399787903,100
"ZDT2","MO_AGD_PSO",11,0.536399371180146,0.00213834251632695,21.2520189285278,100
"ZDT2","MO_AGD_PSO",12,0.535790666270302,0.00303696966344174,20.2454829216003,100
